class,mechanism,group,count,sampleID
Aminoglycosides,Aminoglycoside efflux pumps,ACRD,7,kazan5500_2015_11_27_1_L04_77HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRE,2,kazan5500_2015_11_27_1_L04_77HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRF,11,kazan5500_2015_11_27_1_L04_77HP
Aminoglycosides,Aminoglycoside efflux regulator,ACRS,2,kazan5500_2015_11_27_1_L04_77HP
Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,7,kazan5500_2015_11_27_1_L04_77HP
Aminoglycosides,Aminoglycoside N-acetyltransferases,SAT,1,kazan5500_2015_11_27_1_L04_77HP
Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6,2,kazan5500_2015_11_27_1_L04_77HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH2-DPRIME,3,kazan5500_2015_11_27_1_L04_77HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME,11,kazan5500_2015_11_27_1_L04_77HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6-PRIME,5,kazan5500_2015_11_27_1_L04_77HP
Aminoglycosides,Aminoglycoside-resistant 30S ribosomal subunit protein S12,RPSL,1,kazan5500_2015_11_27_1_L04_77HP
Bacitracin,Undecaprenyl pyrophosphate phosphatase,BACA,2,kazan5500_2015_11_27_1_L04_77HP
betalactams,Class A betalactamases,CBLA,2,kazan5500_2015_11_27_1_L04_77HP
betalactams,Class A betalactamases,CFX,946,kazan5500_2015_11_27_1_L04_77HP
betalactams,Class A betalactamases,CTX,8,kazan5500_2015_11_27_1_L04_77HP
betalactams,Class B betalactamases,CFIA,1,kazan5500_2015_11_27_1_L04_77HP
betalactams,Class C betalactamases,BLAEC,2,kazan5500_2015_11_27_1_L04_77HP
betalactams,Mutant porin proteins,OMP36,2,kazan5500_2015_11_27_1_L04_77HP
betalactams,Penicillin binding protein,AMPH,1,kazan5500_2015_11_27_1_L04_77HP
betalactams,Penicillin binding protein,PBP2,9,kazan5500_2015_11_27_1_L04_77HP
betalactams,Penicillin binding protein,PBP2B,3,kazan5500_2015_11_27_1_L04_77HP
betalactams,Penicillin binding protein,PBP4B,1,kazan5500_2015_11_27_1_L04_77HP
Cationic antimicrobial peptides,Lipid A modification,ARNA,4,kazan5500_2015_11_27_1_L04_77HP
Cationic antimicrobial peptides,Lipid A modification,PMRC,14,kazan5500_2015_11_27_1_L04_77HP
Cationic antimicrobial peptides,Lipid A modification,PMRF,5,kazan5500_2015_11_27_1_L04_77HP
Cationic antimicrobial peptides,Polymyxin B resistance regulator,pmrA,1,kazan5500_2015_11_27_1_L04_77HP
Cationic antimicrobial peptides,Polymyxin B resistance regulator,PMRB,3,kazan5500_2015_11_27_1_L04_77HP
Cationic antimicrobial peptides,Polymyxin-resistant phoP,phoP,2,kazan5500_2015_11_27_1_L04_77HP
Elfamycins,EF-Tu inhibition,TUFAB,87,kazan5500_2015_11_27_1_L04_77HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,16,kazan5500_2015_11_27_1_L04_77HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRB,7,kazan5500_2015_11_27_1_L04_77HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC,6,kazan5500_2015_11_27_1_L04_77HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,parE,3,kazan5500_2015_11_27_1_L04_77HP
Lipopeptides,Daptomycin-resistant beta-subunit of RNA polymerase RpoC,RPOC,1,kazan5500_2015_11_27_1_L04_77HP
MLS,23S rRNA methyltransferases,ERM,11,kazan5500_2015_11_27_1_L04_77HP
MLS,23S rRNA methyltransferases,ERMB,153,kazan5500_2015_11_27_1_L04_77HP
MLS,23S rRNA methyltransferases,ERMF,489,kazan5500_2015_11_27_1_L04_77HP
MLS,23S rRNA methyltransferases,ERMG,3,kazan5500_2015_11_27_1_L04_77HP
MLS,23S rRNA methyltransferases,ERMT,5,kazan5500_2015_11_27_1_L04_77HP
MLS,ABC transporter,TLRC,1,kazan5500_2015_11_27_1_L04_77HP
MLS,Macrolide resistance efflux pumps,MACB,1,kazan5500_2015_11_27_1_L04_77HP
MLS,Macrolide resistance efflux pumps,MEFA,6,kazan5500_2015_11_27_1_L04_77HP
MLS,Macrolide resistance efflux pumps,MEL,1,kazan5500_2015_11_27_1_L04_77HP
MLS,Macrolide resistance efflux pumps,MSRD,2,kazan5500_2015_11_27_1_L04_77HP
MLS,Streptogramin resistance ATP-binding cassette ABC efflux pumps,LSA,1,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,MDR mutant porin proteins,OMPF,3,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,MDR regulator,ACRR,1,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,MDR regulator,ASMA,3,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,MDR regulator,BAER,2,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,MDR regulator,BAES,6,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,MDR regulator,CPXA,5,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,MDR regulator,CPXAR,3,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,MDR regulator,CRP,3,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,MDR regulator,EVGA,1,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,MDR regulator,EVGS,13,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,MDR regulator,GADX,3,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,MDR regulator,MARA,1,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,MDR regulator,MARR,2,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,MDR regulator,PHOQ,5,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,MDR regulator,SOXS,2,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,Multi-drug efflux pumps,EMRA,4,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,Multi-drug efflux pumps,EMRB,3,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,Multi-drug efflux pumps,EMRK,3,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,Multi-drug efflux pumps,EMRY,8,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,Multi-drug efflux pumps,MDFA,4,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,Multi-drug efflux pumps,MDTA,1,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,Multi-drug efflux pumps,MDTB,6,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,Multi-drug efflux pumps,MDTC,13,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,Multi-drug efflux pumps,MDTD,3,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,Multi-drug efflux pumps,MDTE,8,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,Multi-drug efflux pumps,MDTG,1,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,Multi-drug efflux pumps,MDTH,1,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,Multi-drug efflux pumps,MDTK,2,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,Multi-drug efflux pumps,MDTL,4,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,Multi-drug efflux pumps,MDTN,4,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,Multi-drug efflux pumps,MDTO,7,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,Multi-drug efflux pumps,MDTP,3,kazan5500_2015_11_27_1_L04_77HP
Multi-drug resistance,Multi-drug efflux pumps,PHOP,3,kazan5500_2015_11_27_1_L04_77HP
Phenicol,Chloramphenicol acetyltransferases,CAT,13,kazan5500_2015_11_27_1_L04_77HP
Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB,51,kazan5500_2015_11_27_1_L04_77HP
Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP,2,kazan5500_2015_11_27_1_L04_77HP
Tetracyclines,Tetracycline inactivation enzymes,TETX,5,kazan5500_2015_11_27_1_L04_77HP
Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETL,1,kazan5500_2015_11_27_1_L04_77HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET32,1533,kazan5500_2015_11_27_1_L04_77HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET40,19,kazan5500_2015_11_27_1_L04_77HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET44,5,kazan5500_2015_11_27_1_L04_77HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM,2,kazan5500_2015_11_27_1_L04_77HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETO,817,kazan5500_2015_11_27_1_L04_77HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETQ,448,kazan5500_2015_11_27_1_L04_77HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW,2031,kazan5500_2015_11_27_1_L04_77HP
Trimethoprim,Dihydrofolate reductase,DFRF,2,kazan5500_2015_11_27_1_L04_77HP
Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE,2,kazan5500_2015_11_27_1_L04_76HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRF,1,kazan5500_2015_11_27_1_L04_76HP
Aminoglycosides,Aminoglycoside N-acetyltransferases,SAT,6,kazan5500_2015_11_27_1_L04_76HP
Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6,5,kazan5500_2015_11_27_1_L04_76HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME,4,kazan5500_2015_11_27_1_L04_76HP
betalactams,Class A betalactamases,CBLA,1,kazan5500_2015_11_27_1_L04_76HP
betalactams,Class A betalactamases,CFX,749,kazan5500_2015_11_27_1_L04_76HP
betalactams,Class A betalactamases,CTX,6,kazan5500_2015_11_27_1_L04_76HP
betalactams,Class A betalactamases,TEM,1,kazan5500_2015_11_27_1_L04_76HP
betalactams,Class B betalactamases,CFIA,19,kazan5500_2015_11_27_1_L04_76HP
betalactams,Class C betalactamases,ACC,1,kazan5500_2015_11_27_1_L04_76HP
betalactams,Penicillin binding protein,AMPH,1,kazan5500_2015_11_27_1_L04_76HP
betalactams,Penicillin binding protein,PBP2B,1,kazan5500_2015_11_27_1_L04_76HP
Cationic antimicrobial peptides,Lipid A modification,PMRC,1,kazan5500_2015_11_27_1_L04_76HP
Elfamycins,EF-Tu inhibition,TUFAB,54,kazan5500_2015_11_27_1_L04_76HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,6,kazan5500_2015_11_27_1_L04_76HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRB,1,kazan5500_2015_11_27_1_L04_76HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC,2,kazan5500_2015_11_27_1_L04_76HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,parE,1,kazan5500_2015_11_27_1_L04_76HP
Glycopeptides,VanC-type regulator,VANRC,1,kazan5500_2015_11_27_1_L04_76HP
Lipopeptides,Daptomycin-resistant beta-subunit of RNA polymerase RpoC,RPOC,2,kazan5500_2015_11_27_1_L04_76HP
MLS,23S rRNA methyltransferases,ERM,4,kazan5500_2015_11_27_1_L04_76HP
MLS,23S rRNA methyltransferases,ERMB,36,kazan5500_2015_11_27_1_L04_76HP
MLS,23S rRNA methyltransferases,ERMF,698,kazan5500_2015_11_27_1_L04_76HP
MLS,23S rRNA methyltransferases,ERMG,4,kazan5500_2015_11_27_1_L04_76HP
MLS,23S rRNA methyltransferases,ERMT,3,kazan5500_2015_11_27_1_L04_76HP
MLS,Lincosamide nucleotidyltransferases,LNUC,5,kazan5500_2015_11_27_1_L04_76HP
MLS,Macrolide resistance efflux pumps,MEFA,5,kazan5500_2015_11_27_1_L04_76HP
MLS,Macrolide resistance efflux pumps,MEL,2,kazan5500_2015_11_27_1_L04_76HP
MLS,Macrolide resistance efflux pumps,MSRD,4,kazan5500_2015_11_27_1_L04_76HP
Multi-drug resistance,MDR regulator,ACRR,2,kazan5500_2015_11_27_1_L04_76HP
Multi-drug resistance,MDR regulator,ASMA,1,kazan5500_2015_11_27_1_L04_76HP
Multi-drug resistance,Multi-drug efflux pumps,ACRB,1,kazan5500_2015_11_27_1_L04_76HP
Multi-drug resistance,Multi-drug efflux pumps,MDTC,1,kazan5500_2015_11_27_1_L04_76HP
Multi-drug resistance,Multi-drug efflux pumps,MDTD,1,kazan5500_2015_11_27_1_L04_76HP
Multi-drug resistance,Multi-drug efflux pumps,MEXB,1,kazan5500_2015_11_27_1_L04_76HP
Multi-drug resistance,Multi-drug efflux pumps,MSBA,3,kazan5500_2015_11_27_1_L04_76HP
Multi-drug resistance,Multi-drug efflux pumps,OQXB,3,kazan5500_2015_11_27_1_L04_76HP
Phenicol,Chloramphenicol acetyltransferases,CAT,72,kazan5500_2015_11_27_1_L04_76HP
Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB,49,kazan5500_2015_11_27_1_L04_76HP
Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP,2,kazan5500_2015_11_27_1_L04_76HP
Tetracyclines,Tetracycline inactivation enzymes,TETX,157,kazan5500_2015_11_27_1_L04_76HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET32,625,kazan5500_2015_11_27_1_L04_76HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET40,32,kazan5500_2015_11_27_1_L04_76HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM,2,kazan5500_2015_11_27_1_L04_76HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETO,1024,kazan5500_2015_11_27_1_L04_76HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETQ,2495,kazan5500_2015_11_27_1_L04_76HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW,261,kazan5500_2015_11_27_1_L04_76HP
Trimethoprim,Dihydrofolate reductase,DFRF,2,kazan5500_2015_11_27_1_L04_76HP
Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,gyrB,2,kazan5500_2015_11_27_1_L03_74HP
Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE,15,kazan5500_2015_11_27_1_L03_74HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRD,18,kazan5500_2015_11_27_1_L03_74HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRE,12,kazan5500_2015_11_27_1_L03_74HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRF,37,kazan5500_2015_11_27_1_L03_74HP
Aminoglycosides,Aminoglycoside efflux regulator,ACRS,6,kazan5500_2015_11_27_1_L03_74HP
Aminoglycosides,Aminoglycoside N-acetyltransferases,SAT,2,kazan5500_2015_11_27_1_L03_74HP
Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6,1,kazan5500_2015_11_27_1_L03_74HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME,2,kazan5500_2015_11_27_1_L03_74HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6-PRIME,1,kazan5500_2015_11_27_1_L03_74HP
Bacitracin,Undecaprenyl pyrophosphate phosphatase,BACA,4,kazan5500_2015_11_27_1_L03_74HP
betalactams,Class A betalactamases,CBLA,55,kazan5500_2015_11_27_1_L03_74HP
betalactams,Class A betalactamases,CFX,2079,kazan5500_2015_11_27_1_L03_74HP
betalactams,Class A betalactamases,TEM,3,kazan5500_2015_11_27_1_L03_74HP
betalactams,Class B betalactamases,CFIA,3,kazan5500_2015_11_27_1_L03_74HP
betalactams,Class C betalactamases,BLAEC,6,kazan5500_2015_11_27_1_L03_74HP
betalactams,Mutant porin proteins,OMP36,1,kazan5500_2015_11_27_1_L03_74HP
betalactams,Penicillin binding protein,AMPH,5,kazan5500_2015_11_27_1_L03_74HP
betalactams,Penicillin binding protein,PBP1B,1,kazan5500_2015_11_27_1_L03_74HP
betalactams,Penicillin binding protein,PBP2,14,kazan5500_2015_11_27_1_L03_74HP
betalactams,Penicillin binding protein,PBP2B,3,kazan5500_2015_11_27_1_L03_74HP
betalactams,Penicillin binding protein,PBP4B,2,kazan5500_2015_11_27_1_L03_74HP
Cationic antimicrobial peptides,Lipid A modification,ARNA,12,kazan5500_2015_11_27_1_L03_74HP
Cationic antimicrobial peptides,Lipid A modification,PMRC,21,kazan5500_2015_11_27_1_L03_74HP
Cationic antimicrobial peptides,Lipid A modification,PMRF,5,kazan5500_2015_11_27_1_L03_74HP
Cationic antimicrobial peptides,Polymyxin B resistance regulator,pmrA,13,kazan5500_2015_11_27_1_L03_74HP
Cationic antimicrobial peptides,Polymyxin B resistance regulator,PMRB,3,kazan5500_2015_11_27_1_L03_74HP
Elfamycins,EF-Tu inhibition,TUFAB,102,kazan5500_2015_11_27_1_L03_74HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,20,kazan5500_2015_11_27_1_L03_74HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRB,50,kazan5500_2015_11_27_1_L03_74HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC,18,kazan5500_2015_11_27_1_L03_74HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,parE,10,kazan5500_2015_11_27_1_L03_74HP
Glycopeptides,VanD-type regulator,VANRD,1,kazan5500_2015_11_27_1_L03_74HP
Glycopeptides,VanD-type resistance protein,VAND,1,kazan5500_2015_11_27_1_L03_74HP
Glycopeptides,VanG-type resistance protein,VANG,8,kazan5500_2015_11_27_1_L03_74HP
Glycopeptides,VanG-type resistance protein,VANTG,27,kazan5500_2015_11_27_1_L03_74HP
Glycopeptides,VanG-type resistance protein,VANXYG,2,kazan5500_2015_11_27_1_L03_74HP
Lipopeptides,Daptomycin-resistant beta-subunit of RNA polymerase RpoC,RPOC,1,kazan5500_2015_11_27_1_L03_74HP
MLS,23S rRNA methyltransferases,ERM,1,kazan5500_2015_11_27_1_L03_74HP
MLS,23S rRNA methyltransferases,ERMB,4,kazan5500_2015_11_27_1_L03_74HP
MLS,23S rRNA methyltransferases,ERMF,225,kazan5500_2015_11_27_1_L03_74HP
MLS,23S rRNA methyltransferases,ERMT,1,kazan5500_2015_11_27_1_L03_74HP
MLS,23S rRNA methyltransferases,ERMX,2,kazan5500_2015_11_27_1_L03_74HP
MLS,ABC transporter,TLRC,1,kazan5500_2015_11_27_1_L03_74HP
MLS,Lincosamide nucleotidyltransferases,LNUC,2,kazan5500_2015_11_27_1_L03_74HP
MLS,Macrolide resistance efflux pumps,MACB,2,kazan5500_2015_11_27_1_L03_74HP
MLS,Macrolide resistance efflux pumps,MEFA,133,kazan5500_2015_11_27_1_L03_74HP
MLS,Macrolide resistance efflux pumps,MEL,14,kazan5500_2015_11_27_1_L03_74HP
MLS,Macrolide resistance efflux pumps,MSRD,15,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,MDR mutant porin proteins,OMPF,3,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,MDR regulator,ASMA,5,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,MDR regulator,BAER,3,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,MDR regulator,BAES,8,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,MDR regulator,CPXA,8,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,MDR regulator,CPXAR,11,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,MDR regulator,CRP,9,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,MDR regulator,EMRR,4,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,MDR regulator,EVGA,3,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,MDR regulator,EVGS,24,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,MDR regulator,GADX,3,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,MDR regulator,MARA,9,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,MDR regulator,MARR,4,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,MDR regulator,PHOQ,8,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,MDR regulator,SOXS,4,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,Multi-drug efflux pumps,EMRA,4,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,Multi-drug efflux pumps,EMRB,10,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,Multi-drug efflux pumps,EMRE,1,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,Multi-drug efflux pumps,EMRK,5,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,Multi-drug efflux pumps,EMRY,10,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,Multi-drug efflux pumps,MDFA,4,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,Multi-drug efflux pumps,MDTA,7,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,Multi-drug efflux pumps,MDTB,12,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,Multi-drug efflux pumps,MDTC,44,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,Multi-drug efflux pumps,MDTD,8,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,Multi-drug efflux pumps,MDTE,14,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,Multi-drug efflux pumps,MDTG,6,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,Multi-drug efflux pumps,MDTH,5,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,Multi-drug efflux pumps,MDTK,8,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,Multi-drug efflux pumps,MDTL,9,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,Multi-drug efflux pumps,MDTN,10,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,Multi-drug efflux pumps,MDTO,19,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,Multi-drug efflux pumps,MDTP,15,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,Multi-drug efflux pumps,MEXB,2,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,Multi-drug efflux pumps,MEXE,1,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,Multi-drug efflux pumps,OQXB,2,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,Multi-drug efflux pumps,PHOP,1,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,Multi-drug efflux pumps,sme,1,kazan5500_2015_11_27_1_L03_74HP
Multi-drug resistance,Multi-drug efflux pumps,TOLC,8,kazan5500_2015_11_27_1_L03_74HP
Phenicol,Chloramphenicol acetyltransferases,CAT,11,kazan5500_2015_11_27_1_L03_74HP
Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB,120,kazan5500_2015_11_27_1_L03_74HP
Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP,6,kazan5500_2015_11_27_1_L03_74HP
Tetracyclines,Tetracycline inactivation enzymes,TETX,9,kazan5500_2015_11_27_1_L03_74HP
Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETB,2,kazan5500_2015_11_27_1_L03_74HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET32,359,kazan5500_2015_11_27_1_L03_74HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET40,17,kazan5500_2015_11_27_1_L03_74HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET44,1,kazan5500_2015_11_27_1_L03_74HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM,19,kazan5500_2015_11_27_1_L03_74HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETO,958,kazan5500_2015_11_27_1_L03_74HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETQ,8498,kazan5500_2015_11_27_1_L03_74HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW,707,kazan5500_2015_11_27_1_L03_74HP
Trimethoprim,Dihydrofolate reductase,DFRF,1,kazan5500_2015_11_27_1_L03_74HP
Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE,12,kazan5500_2015_11_27_1_L03_73HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRD,3,kazan5500_2015_11_27_1_L03_73HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRF,1,kazan5500_2015_11_27_1_L03_73HP
Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,4,kazan5500_2015_11_27_1_L03_73HP
Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6,2,kazan5500_2015_11_27_1_L03_73HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME,4,kazan5500_2015_11_27_1_L03_73HP
Bacitracin,Undecaprenyl pyrophosphate phosphatase,BACA,1,kazan5500_2015_11_27_1_L03_73HP
betalactams,Class A betalactamases,CBLA,8,kazan5500_2015_11_27_1_L03_73HP
betalactams,Class A betalactamases,CEPA,2,kazan5500_2015_11_27_1_L03_73HP
betalactams,Class A betalactamases,CFX,441,kazan5500_2015_11_27_1_L03_73HP
betalactams,Class A betalactamases,CTX,1,kazan5500_2015_11_27_1_L03_73HP
betalactams,Class A betalactamases,GES,1,kazan5500_2015_11_27_1_L03_73HP
betalactams,Class A betalactamases,TEM,2,kazan5500_2015_11_27_1_L03_73HP
betalactams,Class B betalactamases,CFIA,4,kazan5500_2015_11_27_1_L03_73HP
betalactams,Class C betalactamases,BLAEC,1,kazan5500_2015_11_27_1_L03_73HP
betalactams,Penicillin binding protein,PBP1B,2,kazan5500_2015_11_27_1_L03_73HP
betalactams,Penicillin binding protein,PBP2B,21,kazan5500_2015_11_27_1_L03_73HP
Elfamycins,EF-Tu inhibition,TUFAB,137,kazan5500_2015_11_27_1_L03_73HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,10,kazan5500_2015_11_27_1_L03_73HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRB,3,kazan5500_2015_11_27_1_L03_73HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC,7,kazan5500_2015_11_27_1_L03_73HP
Glycopeptides,VanA-type resistance protein,VANA,1,kazan5500_2015_11_27_1_L03_73HP
Glycopeptides,VanB-type accessory protein,VANVB,1,kazan5500_2015_11_27_1_L03_73HP
Glycopeptides,VanB-type resistance protein,VANB,1,kazan5500_2015_11_27_1_L03_73HP
Glycopeptides,VanD-type regulator,VANRD,1,kazan5500_2015_11_27_1_L03_73HP
Glycopeptides,VanG-type accessory protein,VANWG,1,kazan5500_2015_11_27_1_L03_73HP
Glycopeptides,VanG-type resistance protein,VANG,11,kazan5500_2015_11_27_1_L03_73HP
Glycopeptides,VanG-type resistance protein,VANTG,34,kazan5500_2015_11_27_1_L03_73HP
Glycopeptides,VanG-type resistance protein,VANXYG,6,kazan5500_2015_11_27_1_L03_73HP
Lipopeptides,Daptomycin-resistant beta-subunit of RNA polymerase RpoC,RPOC,4,kazan5500_2015_11_27_1_L03_73HP
MLS,23S rRNA methyltransferases,ERMB,28,kazan5500_2015_11_27_1_L03_73HP
MLS,23S rRNA methyltransferases,ERMF,105,kazan5500_2015_11_27_1_L03_73HP
